names	level	sas.name	class	qc.tests	restrictions	units	description	MMRF Source	DFCI_Source	DFCI2009_Source	UAMS_Source
TRT_1_bmtx_type	clinical	TRT_1_bmtx_type	character	column_exists			Description of bone marrow transplant type received during first line therapy. If multiple bmt were performed during first line therapy additional types are appended with semicolon	Simplify(STAND_ALONE_TRTRESP::bmtx_type)			
TRT_1_bmtx_n	clinical	TRT_1_bmtx_n	numeric	column_exists; all_positive			Number of bone marrow transplant the patient received during first line therapy.	"max(STAND_ALONE_TRTRESP::bmtx_seq, na.rm = T)"			
TRT_1_bmtx_day	clinical	TRT_1_bmtx_day	numeric	column_exists; all_positive			Study day of the  first bone marrow transplant received during first line therapy	"min(STAND_ALONE_TRTRESP::bmtx_day, na.rm = T)"			
TRT_1_bend	clinical	TRT_1_bend	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with bendamustine as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_bor	clinical	TRT_1_bor	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with bortezomib as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_car	clinical	TRT_1_car	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with carfilzomib as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_cyc	clinical	TRT_1_cyc	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with cyclophosphamide as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_dar	clinical	TRT_1_dar	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with daratumumab as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_dex	clinical	TRT_1_dex	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with dexamethasone as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_dox	clinical	TRT_1_dox	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with doxorubicin as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_doxlip	clinical	TRT_1_doxlip	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with liposomal doxorubicin as part of first line therapy.  	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_ixa	clinical	TRT_1_ixa	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with ixazomib as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_len	clinical	TRT_1_len	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with lenalidomide as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_mel	clinical	TRT_1_mel	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with melphalan as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_pom	clinical	TRT_1_pom	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with pomalidomide as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_pred	clinical	TRT_1_pred	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with prednisone as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_thal	clinical	TRT_1_thal	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with thalidomide as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_vin	clinical	TRT_1_vin	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with vincristine as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY			
TRT_1_IMID	clinical	TRT_1_IMID	numeric	column_exists	0=no; 1=yes		"Did the patient receive first line treatment that included Immunomodulatory imide drugs (IMiDs). This class of drugs includes: thalidomide, lenalidomide, pomalidomide and apremilast. This column is derived from as.numeric( TRT_1_thal | TRT_1_len | TRT_1_pom)"				
TRT_1_other	clinical	TRT_1_other	numeric	column_exists	0=no; 1=yes		Did the patient receive treatment with a drug not specifically classified here (Other) as part of first line therapy. 				
TRT_1_other_names	clinical	TRT_1_other_names	character	column_exists			List of other first line drug treatments not specifically classified				
D_Diagnosis_Date	clinical		date	column_exists	‰ÛÏYYYY-mm-dd‰Ûù		YYYY-mm-dd formatted diagnosis date				
D_Relapse_Date	clinical		date	column_exists	‰ÛÏYYYY-mm-dd‰Ûù		YYYY-mm-dd formatted date of first relapse				
D_Death_Date	clinical		date	column_exists	‰ÛÏYYYY-mm-dd‰Ûù						
D_Last_Visit_Date	clinical		date	column_exists	‰ÛÏYYYY-mm-dd‰Ûù		YYYY-mm-dd formatted date of last visit				
D_ISS	clinical	D_ISS	factor	column_exists	1; 2; 3		"International Staging System (ISS) criteria. 1=""Stage I: Beta-2-macroglobulin < 3.5 mg/dL and albumin =3.5 g/dL""; 2=""Stage II: Neither stage I nor stage III""; 3=""Stage III: Beta-2-macroglobulin > 5.5 mg/L"""	PER_PATIENT.D_PT_iss	DFCI_WES_clinical_info_new.xlsx::ISS	2017-02-01_DFCI_RNASeq_Clinical.xls::ISS	"ISS column. `Stage I` = 1, `Stage II` = 2, `Stage III` = 3"
D_Response_Assessment	clinical	D_Response_Assessment	numeric	column_exists; all_numeric			Study day of latest response assessment.	"max(PER-PATIENT-VISIT::AT_RESPONSEASSES, na.rm = T)"			
D_Last_Visit	clinical	D_Last_Visit	numeric	column_exists; all_numeric			Study day of last visit. Does not require a progression assessment to have occurred.	"max(PER-PATIENT-VISIT::VISITDY, na.rm = T)"			
D_OS	clinical	D_OS	numeric	column_exists; all_positive		days	Overall Survival time: time to death for those who died; time to last contact for those who are still alive.	STAND_ALONE_SURVIVAL::ttcos	DFCI_WES_clinical_info_new.xlsx::Days_survived	2017-02-01_DFCI_RNASeq_Clinical.xls::DiagToDeath	OS_months/12*365.25
D_OS_FLAG	clinical	D_OS_FLAG	numeric	column_exists	0=no; 1=yes		"Is the patient deceased? It turns out ""death day"" is a more consistent field for MMRF than the D_PT_DISCREAS flag, which was missing for a few patients that had a death date."	STAND_ALONE_SURVIVAL::censos	DFCI_WES_clinical_info_new.xlsx::Death	2017-02-01_DFCI_RNASeq_Clinical.xls::Death	OS_status
D_PFS	clinical	D_PFS	numeric	column_exists; all_positive		days	"Time to censored progression-free survivial (ttcpfs). From UAMS trial: Disease progression will be determined according to the Modified International Uniform Response criteria of Response and Progression (based on Blade et al, 1998; Durie et al, 2006; Rajkumar et al, 2011). Progression-free survival for induction chemotherapy comparisons is defined as the time from the date of initial randomisation to the trial to the date of  or dprogressioneath from any cause. Participants who do not progress will be censored at the last date they were known to be alive and progression-free. Participants discontinuing protocol treatment, receiving non-protocol treatment or suffering a second malignancy will still be followed for progression-free survival unless they explicitly withdraw consent. Progression-free survival for VCD randomisation comparisons is defined similarly from the date of VCD randomisation. Any participants who have been found to progress prior to entering the VCD randomisation will be censored at the date of VCD randomisation. Progression-free survival for maintenance randomisation comparisons is defined similarly from the date of maintenance randomisation. Any participants who have been found to progress prior to entering the maintenance randomisation will be censored at the date of maintenance randomisation."	STAND_ALONE_SURVIVAL::ttcpfs	DFCI_WES_clinical_info_new.xlsx::	2017-02-01_DFCI_RNASeq_Clinical.xls::DiagToRelapse	PFS_months/12*365.25
D_PFS_FLAG	clinical	D_PFS_FLAG	numeric	column_exists	0=no; 1=yes		Flag for censored progression-free survivial. Has the patient been assessed for progressive disease or died from any cause.	STAND_ALONE_SURVIVAL::censpfs	DFCI_WES_clinical_info_new.xlsx::Relapse.1	2017-02-01_DFCI_RNASeq_Clinical.xls::Relapse	PFS_status
D_PD	clinical	D_PD	numeric	column_exists; all_positive			Time to first PD line 1	STAND_ALONE_SURVIVAL::ttfpd	NA	NA	NA
D_PD_FLAG	clinical	D_PD_FLAG	numeric	column_exists	0=no; 1=yes		Flag if patient had a PD	STAND_ALONE_SURVIVAL::pdflag	NA	NA	NA
D_Cause_of_Death	clinical	D_Cause_of_Death	character	column_exists			Cause of death	PER_PATIENT.D_PT_CAUSEOFDEATH	NA		NA
D_Reason_for_Discontinuation	clinical	D_Reason_for_Discontinuation	character	column_exists			Primary Reason for Discontinuation	PER_PATIENT.D_PT_PRIMARYREASON	NA		NA
D_Discontinued	clinical	D_Discontinued	numeric	column_exists	0=no; 1=yes		Study discontinuation flag	PER_PATIENT.D_PT_discont	NA		NA
D_Complete	clinical	D_Complete	numeric	column_exists	0=no; 1=yes		Study complete flag	PER_PATIENT.D_PT_complete	NA		NA
D_Best_Response_Code	clinical	D_Best_Response_Code	numeric	column_exists	"1=""CR, Complete Response""; 2=""sCR, Stringent Complete Response""; 3=""VGPR, Very Good Partial Response""; 4=""PR, Partial Response""; 5=""SD, Stable Disease""; 6=""PD, Progressive Disease"""		Best observed therapy response from line 1 treatment regimen (numerically coded)	STAND_ALONE_TRTRESP.bestrespcd	NA		NA
D_Best_Response	clinical	D_Best_Response	character	column_exists			Best observed therapy response from line 1 treatment regimen	STAND_ALONE_TRTRESP.bestresp	NA		NA
CBC_Absolute_Neutrophil	blood	CBC_Absolute_Neutrophil	numeric	column_exists		count x10^9/L	Absolute Neutrophil count	PER_PATIENT_VISIT.D_LAB_cbc_abs_neut	NA		NA
CBC_Platelet	blood	CBC_Platelet	numeric	column_exists		count x10^9/L	Platelet count. Observed range: 10-700 x10^9/L	PER_PATIENT_VISIT.D_LAB_cbc_platelet	NA		NA
CBC_WBC	blood	CBC_WBC	numeric	column_exists		count x10^9/L	White Blood Count	PER_PATIENT_VISIT.D_LAB_cbc_wbc	NA		NA
DIAG_Hemoglobin	blood	DIAG_Hemoglobin	numeric	column_exists		mmol/L	Hemogobin (mw=16 kg/mole). Observed Range: 2.7-10.2mmol/L. Convert g/dL * 0.625 = mmol/L	PER_PATIENT_VISIT.D_LAB_cbc_hemoglobin	NA		NA
DIAG_Albumin	blood	DIAG_Albumin	numeric	column_exists		g/L	Albumin. Observed range 16-54 g/L.	PER_PATIENT_VISIT.D_LAB_chem_albumin	NA		Serum.albumin
DIAG_Calcium	blood	DIAG_Calcium	numeric	column_exists		mmol/L	Calcium (mw=40.1 g/mole)	PER_PATIENT_VISIT.D_LAB_chem_calcium	NA		Corrected.Calcium
DIAG_Creatinine	blood	DIAG_Creatinine	numeric	column_exists		umol/L	Serum Creatinine (mw=113.12 g/mole)	PER_PATIENT_VISIT.D_LAB_chem_creatinine	NA		Serum.creatinine
DIAG_LDH	blood	DIAG_LDH	numeric	column_exists		ukat/L	LDH	PER_PATIENT_VISIT.D_LAB_chem_ldh	NA		NA
DIAG_Beta2Microglobulin	blood	DIAG_Beta2Microglobulin	numeric	column_exists		mcg/mL	Beta 2 Microglobulin. Obervsed range: 0.2-36 mcg/mL	PER_PATIENT_VISIT.D_LAB_serum_beta2_microglobulin	NA		B2.microglobulin
CHEM_BUN	blood	CHEM_BUN	numeric	column_exists		mmol/L	Blood Urea Nitrogen	PER_PATIENT_VISIT.D_LAB_chem_bun	NA		NA
CHEM_Glucose	blood	CHEM_Glucose	numeric	column_exists		mmol/L	Glucose	PER_PATIENT_VISIT.D_LAB_chem_glucose	NA		NA
CHEM_Total_Protein	blood	CHEM_Total_Protein	numeric	column_exists		g/dL	Total Protein	PER_PATIENT_VISIT.D_LAB_chem_totprot	NA		NA
CHEM_CRP	blood	CHEM_CRP	numeric	column_exists		mg/dL	C-Reactive Protein. Observed range 0-32 mg/dL.	PER_PATIENT_VISIT.D_LAB_serum_c_reactive_protein	NA		NA
IG_IgL_Kappa	blood	IG_IgL_Kappa	numeric	column_exists		mg/dL	Serum Kappa	PER_PATIENT_VISIT.D_LAB_serum_kappa	NA		NA
IG_M_Protein	blood	IG_M_Protein	numeric	column_exists		g/dL	Serum M Protein	PER_PATIENT_VISIT.D_LAB_serum_m_protein	NA		NA
IG_IgA	blood	IG_IgA	numeric	column_exists		g/L	Serum IgA	PER_PATIENT_VISIT.D_LAB_serum_iga	NA		NA
IG_IgG	blood	IG_IgG	numeric	column_exists		g/L	Serum IgG	PER_PATIENT_VISIT.D_LAB_serum_igg	NA		NA
IG_IgL_Lambda	blood	IG_IgL_Lambda	numeric	column_exists		mg/dL	Serum Lambda	PER_PATIENT_VISIT.D_LAB_serum_lambda	NA		NA
IG_IgM	blood	IG_IgM	numeric	column_exists		g/L	Serum IgM	PER_PATIENT_VISIT.D_LAB_serum_igm	NA		NA
IG_IgE	blood	IG_IgE	numeric	column_exists		mg/L	Serum IgE	PER_PATIENT_VISIT.D_LAB_serum_ige	NA		NA
FLO_Markers	blood	FLO_Markers	numeric	column_exists				NA	NA		NA
FLO_Percent_Aneuploid	blood	FLO_Percent_Aneuploid	numeric	column_exists			Flow cytometer %aneuploidy population	PER_PATIENT_VISIT.D_IM_FLOWCYT_PCT_ANEUPLOID_POPUL	NA		NA
FLO_IgH	blood	FLO_IgH	numeric	column_exists				NA	NA		NA
FLO_IgL	blood	FLO_IgL	numeric	column_exists			Light Chain by Flow	PER_PATIENT_VISIT.D_IM_LIGHT_CHAIN_BY_FLOW	NA		NA
FLO_DNA_Index	blood	FLO_DNA_Index	numeric	column_exists			DNA Index. DNA content of cells is measured by the ability of propidium iodide to bind stoichiometrically to DNA.	PER_PATIENT_VISIT.D_IM_DNA_INDEX	NA		NA
MISC_BRAF_V600E	blood	MISC_BRAF_V600E	numeric	column_exists	0=no; 1=yes		BRAF Status	PER_PATIENT_VISIT.D_IM_BRAF_STATUS	NA		NA
MISC_ECOG_Status	blood	MISC_ECOG_Status	numeric	column_exists	"0=""Fully Active""; 1=""Restricted in physically strenuous activity""; 2=""Ambulatory and capable of all selfcare""; 3=""Capable of only limited selfcare""; 4=""Completely disabled"""		Eastern Cooperative Oncology Group (ECOG) standard criteria for measuring how the disease impacts a patientÌøåÀå_s daily living abilities.	PER_PATIENT_VISIT.ECOG_PERFORMANCEST	NA		NA
CYTO_Karyotype_FISH	translocations	CYTO_Karyotype_FISH	character	column_exists			Text description of karyotype	PER_PATIENT_VISIT.D_CM_KARYOTYPE	Karyotype		NA
CYTO_t_4_14_FISH	translocations	CYTO_t_4_14__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	PER_PATIENT_VISIT.D_TRI_CF_ABNORMALITYPR3	"""4;14"" parsed from Karyotype"	"as.numeric(gsub(""9"", NA, t_4_14) )"	Translocation_consensus == 4
CYTO_t_6_14_FISH	translocations	CYTO_t_6_14__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	PER_PATIENT_VISIT.D_TRI_CF_ABNORMALITYPR4	NA		Translocation_consensus == 6
CYTO_t_8_14_FISH	translocations	CYTO_t_8_14__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	PER_PATIENT_VISIT.D_TRI_CF_ABNORMALITYPR5	NA		MYC.translocation == t(8;14)
CYTO_t_11_14_FISH	translocations	CYTO_t_11_14__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	PER_PATIENT_VISIT.D_TRI_CF_ABNORMALITYPR6	NA		Translocation_consensus == 11
CYTO_t_12_14_FISH	translocations	CYTO_t_12_14__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	PER_PATIENT_VISIT.D_TRI_CF_ABNORMALITYPR7	NA		NA
CYTO_t_14_16_FISH	translocations	CYTO_t_14_16__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	PER_PATIENT_VISIT.D_TRI_CF_ABNORMALITYPR8	"""14;16"" parsed from Karyotype"		Translocation_consensus == 16
CYTO_t_14_20_FISH	translocations	CYTO_t_14_20__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	PER_PATIENT_VISIT.D_TRI_CF_ABNORMALITYPR9	NA		Translocation_consensus == 20
CYTO_MYC_FISH	translocations	CYTO_MYC_FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant involving MYC loci at chromosome 8 observed via FISH				
CYTO_amp_1q_FISH	translocations	CYTO_amp_1q__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH				
CYTO_1qplus_FISH	translocations	CYTO_1qplus_FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH			as.numeric(Gain_1q)	
CYTO_del_1p_FISH	translocations	CYTO_del_1p__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	PER_PATIENT_VISIT.D_TRI_CF_ABNORMALITYPR12	NA		NA
CYTO_del_1q_FISH	translocations	CYTO_del_1q__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	PER_PATIENT_VISIT.D_TRI_CF_ABNORMALITYPR13	NA		NA
CYTO_del_1p32_FISH	translocations	CYTO_del_1p32__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH				
CYTO_del_16q_FISH	translocations	CYTO_del_16q__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH			del16q	
CYTO_del_17_17p_FISH	translocations	CYTO_del_17_17p__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	PER_PATIENT_VISIT.D_TRI_CF_ABNORMALITYPR2	dfci.cyto$Karyotype		NA
CYTO_del_11q_FISH	translocations	CYTO_del_11q__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH				
CYTO_del_12p_FISH	translocations	CYTO_del_12p__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH				
CYTO_del_13q_FISH	translocations	CYTO_del_13q__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH				
CYTO_del_14q_FISH	translocations	CYTO_del_14q__FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH				
CYTO_Hyperdiploid_FISH	translocations	CYTO_Hyperdiploid_FISH	numeric	column_exists	0=no; 1=yes; 2=subclonal		Structural variant observed via FISH	"PER_PATIENT_VISIT.D_CM_ANEUPLOIDYCAT, D_TRI_trisomies"	"""Hyper"" parsed from Karyotype"		NA
CYTO_t_4_14_MANTA	translocations	CYTO_t_4_14__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_t_6_14_MANTA	translocations	CYTO_t_6_14__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_t_8_14_MANTA	translocations	CYTO_t_8_14__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_t_11_14_MANTA	translocations	CYTO_t_11_14__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_t_12_14_MANTA	translocations	CYTO_t_12_14__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_t_14_16_MANTA	translocations	CYTO_t_14_16__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_t_14_20_MANTA	translocations	CYTO_t_14_20__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_MYC_MANTA	translocations	CYTO_MYC_MANTA	numeric	column_exists	0=no; 1=yes		Structural variant involving MYC loci at chromosome 8 observed via FISH				
CYTO_amp_1q_MANTA	translocations	CYTO_amp_1q__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_1qplus_MANTA	translocations	CYTO_1qplus_MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_del_1p_MANTA	translocations	CYTO_del_1p__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_del_1q_MANTA	translocations	CYTO_del_1q__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_del_1p32_MANTA	translocations	CYTO_del_1p32__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_del_16q_MANTA	translocations	CYTO_del_16q__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_del_17_17p_MANTA	translocations	CYTO_del_17_17p__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_del_11q_MANTA	translocations	CYTO_del_11q__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_del_13q_MANTA	translocations	CYTO_del_13q__MANTA	numeric	column_exists	0=no; 1=yes		Structural variant observed via MANTA				
CYTO_1qplus_ControlFreec	translocations	CYTO_1qplus_ControlFreec	numeric	column_exists	0=no; 1=yes						
CYTO_Hyperdiploid_ControlFreec	translocations	CYTO_Hyperdiploid_ControlFreec	numeric	column_exists	0=no; 1=yes						
CYTO_TETRAPLOID_ControlFreec	translocations	CYTO_TETRAPLOID_ControlFreec	numeric	column_exists	0=no; 1=yes						
CYTO_t_4_14_CONSENSUS	translocations	CYTO_t_4_14__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_t_6_14_CONSENSUS	translocations	CYTO_t_6_14__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_t_8_14_CONSENSUS	translocations	CYTO_t_8_14__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_t_11_14_CONSENSUS	translocations	CYTO_t_11_14__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_t_12_14_CONSENSUS	translocations	CYTO_t_12_14__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
CYTO_t_14_16_CONSENSUS	translocations	CYTO_t_14_16__CONSENSUS	numeric	column_exists	0=no; 1=yes; 2=subclonal		Consensus structural variant call				
